OSHINAVI 独立点検 / 基準日 2026-08-24 / index.html は読み取りのみ・ネットワーク未使用
エントリ総数 3297 件（verified=true 3297 / false 0）

========== A. 削除すべき（千秋楽が過去＋買える枠ゼロ）: 48 件 ==========
id=4074 | シャインポスト BRiGHT STARS FESTIVAL 2026 | シャインポスト BRiGHT STARS FESTIVAL 2026 | date=2026-09-13 | 締切=2026-08-20 | 枠2(売切0) | pia | 公演日 2026-09-13 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=4153 | 高尾奏音／櫻井陽菜 | 高尾奏音／櫻井陽菜 | date=2026-09-13 | 締切=2026-08-16 | 枠1(売切0) | pia | 公演日 2026-09-13 は未来だが買える枠ゼロ(最終締切 2026-08-16)
id=4154 | PERSONA LIVE TOUR 2026 - Resonance - | PERSONA LIVE TOUR 2026 - Resonance - | date=2026-09-13 | 締切=2026-08-14 | 枠1(売切0) | pia | 公演日 2026-09-13 は未来だが買える枠ゼロ(最終締切 2026-08-14)
id=3116 | CUTIE STREET 梅田みゆ 生誕祭 2026 | CUTIE STREET 梅田みゆ 生誕祭 2026 | date=2026-09-14 | 締切=2026-08-22 | 枠1(売切0) | pia | 公演日 2026-09-14 は未来だが買える枠ゼロ(最終締切 2026-08-22)
id=4146 | さかしたひかる | さかしたひかる | date=2026-09-14 | 締切=2026-08-12,2026-08-16 | 枠2(売切0) | pia | 公演日 2026-09-14 は未来だが買える枠ゼロ(最終締切 2026-08-16)
id=4155 | 高橋愛 | 高橋愛 | date=2026-09-14 | 締切=2026-08-13 | 枠1(売切0) | pia | 公演日 2026-09-14 は未来だが買える枠ゼロ(最終締切 2026-08-13)
id=3683 | 『超かぐや姫!』ムビチケカード型前売り券 | 『超かぐや姫!』ムビチケカード型前売り券 | date=2026-09-18 | 締切=2026-08-20 | 枠1(売切0) | pia | 公演日 2026-09-18 は未来だが買える枠ゼロ(最終締切 2026-08-20)
id=4033 | CARCASS | CARCASS | date=2026-09-18 | 締切=2026-08-16 | 枠1(売切0) | pia | 公演日 2026-09-18 は未来だが買える枠ゼロ(最終締切 2026-08-16)
id=4417 | 2026 LEE SANG JUN SHOW 45 WORLD TOUR in TOKYO | 2026 LEE SANG JUN SHOW 45 WORLD TOUR in TOKYO | date=2026-09-21 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-09-21 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=4034 | syudou | syudou | date=2026-09-23 | 締切=2026-08-23 | 枠1(売切0) | pia | 公演日 2026-09-23 は未来だが買える枠ゼロ(最終締切 2026-08-23)
id=4165 | ETERNAL FIGHTER TAKERU DEEPEST RESPECT | ETERNAL FIGHTER TAKERU DEEPEST RESPECT | date=2026-09-24 | 締切=2026-08-18 | 枠1(売切0) | pia | 公演日 2026-09-24 は未来だが買える枠ゼロ(最終締切 2026-08-18)
